text,label
Reset your password to avoid account lock as soon as possible,1
Your account has been suspended verify now immediately,1
Urgent update your account now for security reasons,1
Please confirm receipt of this document right now,0
Congratulations you won a free iPhone right now,1
Verify your bank account immediately immediately,1
Security alert update banking information to avoid suspension,1
Please confirm receipt of this document today,0
Team lunch scheduled for Friday immediately,0
Monthly report has been shared to avoid suspension,0
Your account has been suspended verify now for security reasons,1
Congratulations you won a free iPhone to avoid suspension,1
Verify your bank account immediately as soon as possible,1
Please confirm receipt of this document right now,0
Budget approval meeting next week to prevent deactivation,0
Congratulations you won a free iPhone within 24 hours,1
Training session starts at 2pm within 24 hours,0
Please review the attached report today,0
Unauthorized login attempt detected confirm immediately right now,1
Reminder about tomorrow workshop within 24 hours,0
Reminder about tomorrow workshop to avoid suspension,0
Monthly report has been shared immediately,0
Unauthorized login attempt detected confirm immediately to avoid suspension,1
Budget approval meeting next week to prevent deactivation,0
Security alert update banking information as soon as possible,1
Verify your bank account immediately today,1
Verify your bank account immediately to prevent deactivation,1
Please confirm receipt of this document immediately,0
Please confirm receipt of this document for security reasons,0
Meeting tomorrow at 10am to avoid suspension,0
Confirm your identity to restore access immediately,1
Unauthorized login attempt detected confirm immediately right now,1
Project discussion at 5pm as soon as possible,0
Verify your bank account immediately to prevent deactivation,1
Your salary has been credited within 24 hours,0
Your salary has been credited as soon as possible,0
Meeting tomorrow at 10am to avoid suspension,0
Meeting tomorrow at 10am to avoid suspension,0
Final warning respond immediately for security reasons,1
Congratulations you won a free iPhone as soon as possible,1
Training session starts at 2pm today,0
Security alert update banking information to avoid suspension,1
Urgent update your account now as soon as possible,1
Congratulations you won a free iPhone to prevent deactivation,1
Final warning respond immediately to prevent deactivation,1
Security alert update banking information right now,1
Your account has been suspended verify now within 24 hours,1
Urgent update your account now right now,1
Reminder about tomorrow workshop immediately,0
Team lunch scheduled for Friday to avoid suspension,0
Unauthorized login attempt detected confirm immediately as soon as possible,1
Please confirm receipt of this document right now,0
Training session starts at 2pm as soon as possible,0
Please review the attached report today,0
Your account has been suspended verify now to avoid suspension,1
Congratulations you won a free iPhone immediately,1
Urgent update your account now immediately,1
Verify your bank account immediately today,1
Project discussion at 5pm right now,0
Please review the attached report right now,0
Team lunch scheduled for Friday right now,0
Congratulations you won a free iPhone for security reasons,1
Meeting tomorrow at 10am right now,0
Training session starts at 2pm immediately,0
Your salary has been credited today,0
Unauthorized login attempt detected confirm immediately to avoid suspension,1
Budget approval meeting next week immediately,0
Your account has been suspended verify now immediately,1
Reset your password to avoid account lock as soon as possible,1
Verify your bank account immediately to avoid suspension,1
Project discussion at 5pm to avoid suspension,0
Verify your bank account immediately for security reasons,1
Congratulations you won a free iPhone for security reasons,1
Click this link to win prize to prevent deactivation,1
Please confirm receipt of this document within 24 hours,0
Click this link to win prize to prevent deactivation,1
Urgent update your account now within 24 hours,1
Congratulations you won a free iPhone to avoid suspension,1
Training session starts at 2pm today,0
Budget approval meeting next week within 24 hours,0
Training session starts at 2pm today,0
Meeting tomorrow at 10am today,0
Your account has been suspended verify now as soon as possible,1
Meeting tomorrow at 10am as soon as possible,0
Please confirm receipt of this document within 24 hours,0
Monthly report has been shared to avoid suspension,0
Please confirm receipt of this document for security reasons,0
Final warning respond immediately within 24 hours,1
Verify your bank account immediately right now,1
Training session starts at 2pm within 24 hours,0
Your salary has been credited for security reasons,0
Your account has been suspended verify now for security reasons,1
Team lunch scheduled for Friday within 24 hours,0
Final warning respond immediately for security reasons,1
Budget approval meeting next week to prevent deactivation,0
Project discussion at 5pm within 24 hours,0
Budget approval meeting next week to avoid suspension,0
Final warning respond immediately immediately,1
Security alert update banking information within 24 hours,1
Monthly report has been shared right now,0
Unauthorized login attempt detected confirm immediately right now,1
Please confirm receipt of this document to avoid suspension,0
Team lunch scheduled for Friday right now,0
Monthly report has been shared today,0
Monthly report has been shared for security reasons,0
Final warning respond immediately within 24 hours,1
Budget approval meeting next week right now,0
Training session starts at 2pm immediately,0
Confirm your identity to restore access as soon as possible,1
Unauthorized login attempt detected confirm immediately to avoid suspension,1
Your account has been suspended verify now to avoid suspension,1
Meeting tomorrow at 10am for security reasons,0
Project discussion at 5pm immediately,0
Budget approval meeting next week to prevent deactivation,0
Monthly report has been shared within 24 hours,0
Your salary has been credited to prevent deactivation,0
Project discussion at 5pm right now,0
Congratulations you won a free iPhone to avoid suspension,1
Click this link to win prize as soon as possible,1
Unauthorized login attempt detected confirm immediately as soon as possible,1
Training session starts at 2pm today,0
Project discussion at 5pm for security reasons,0
Reminder about tomorrow workshop within 24 hours,0
Confirm your identity to restore access right now,1
Security alert update banking information within 24 hours,1
Verify your bank account immediately right now,1
Please confirm receipt of this document today,0
Your salary has been credited within 24 hours,0
Project discussion at 5pm immediately,0
Training session starts at 2pm immediately,0
Verify your bank account immediately for security reasons,1
Your account has been suspended verify now immediately,1
Final warning respond immediately right now,1
Unauthorized login attempt detected confirm immediately right now,1
Reset your password to avoid account lock as soon as possible,1
Click this link to win prize within 24 hours,1
Unauthorized login attempt detected confirm immediately as soon as possible,1
Training session starts at 2pm to prevent deactivation,0
Reset your password to avoid account lock today,1
Verify your bank account immediately right now,1
Confirm your identity to restore access for security reasons,1
Please review the attached report to prevent deactivation,0
Unauthorized login attempt detected confirm immediately as soon as possible,1
Monthly report has been shared as soon as possible,0
Training session starts at 2pm for security reasons,0
Security alert update banking information as soon as possible,1
Project discussion at 5pm right now,0
Your salary has been credited today,0
Training session starts at 2pm right now,0
Confirm your identity to restore access for security reasons,1
Training session starts at 2pm right now,0
Urgent update your account now as soon as possible,1
Team lunch scheduled for Friday within 24 hours,0
Project discussion at 5pm for security reasons,0
Training session starts at 2pm right now,0
Project discussion at 5pm immediately,0
Congratulations you won a free iPhone as soon as possible,1
Reminder about tomorrow workshop as soon as possible,0
Your salary has been credited today,0
Team lunch scheduled for Friday as soon as possible,0
Confirm your identity to restore access for security reasons,1
Unauthorized login attempt detected confirm immediately immediately,1
Verify your bank account immediately to prevent deactivation,1
Please confirm receipt of this document immediately,0
Unauthorized login attempt detected confirm immediately to avoid suspension,1
Monthly report has been shared right now,0
Click this link to win prize to prevent deactivation,1
Confirm your identity to restore access within 24 hours,1
Project discussion at 5pm immediately,0
Click this link to win prize within 24 hours,1
Confirm your identity to restore access today,1
Security alert update banking information for security reasons,1
Your account has been suspended verify now right now,1
Please confirm receipt of this document today,0
Training session starts at 2pm to prevent deactivation,0
Your account has been suspended verify now within 24 hours,1
Your account has been suspended verify now as soon as possible,1
Reset your password to avoid account lock immediately,1
Verify your bank account immediately right now,1
Training session starts at 2pm within 24 hours,0
Meeting tomorrow at 10am within 24 hours,0
Training session starts at 2pm to prevent deactivation,0
Budget approval meeting next week as soon as possible,0
Please review the attached report within 24 hours,0
Monthly report has been shared as soon as possible,0
Final warning respond immediately as soon as possible,1
Meeting tomorrow at 10am to avoid suspension,0
Unauthorized login attempt detected confirm immediately today,1
Team lunch scheduled for Friday for security reasons,0
Verify your bank account immediately right now,1
Security alert update banking information to prevent deactivation,1
Your salary has been credited to avoid suspension,0
Monthly report has been shared to prevent deactivation,0
Your salary has been credited today,0
Click this link to win prize within 24 hours,1
Reset your password to avoid account lock immediately,1
Congratulations you won a free iPhone within 24 hours,1
Monthly report has been shared within 24 hours,0
Verify your bank account immediately immediately,1
Monthly report has been shared right now,0
Please confirm receipt of this document to prevent deactivation,0
Your salary has been credited within 24 hours,0
Training session starts at 2pm to prevent deactivation,0
Your salary has been credited today,0
Team lunch scheduled for Friday to prevent deactivation,0
Final warning respond immediately to prevent deactivation,1
Please review the attached report today,0
Final warning respond immediately immediately,1
Confirm your identity to restore access within 24 hours,1
Congratulations you won a free iPhone immediately,1
Click this link to win prize to avoid suspension,1
Team lunch scheduled for Friday today,0
Congratulations you won a free iPhone within 24 hours,1
Reminder about tomorrow workshop for security reasons,0
Confirm your identity to restore access today,1
Unauthorized login attempt detected confirm immediately for security reasons,1
Final warning respond immediately to avoid suspension,1
Your salary has been credited immediately,0
Urgent update your account now to avoid suspension,1
Budget approval meeting next week within 24 hours,0
Project discussion at 5pm immediately,0
Project discussion at 5pm today,0
Final warning respond immediately right now,1
Monthly report has been shared as soon as possible,0
Project discussion at 5pm to avoid suspension,0
Please review the attached report right now,0
Monthly report has been shared as soon as possible,0
Monthly report has been shared to prevent deactivation,0
Unauthorized login attempt detected confirm immediately to avoid suspension,1
Budget approval meeting next week today,0
Reminder about tomorrow workshop right now,0
Your account has been suspended verify now to avoid suspension,1
Your salary has been credited to prevent deactivation,0
Click this link to win prize within 24 hours,1
Reset your password to avoid account lock to avoid suspension,1
Confirm your identity to restore access to prevent deactivation,1
Your account has been suspended verify now immediately,1
Reset your password to avoid account lock today,1
Reminder about tomorrow workshop today,0
Your account has been suspended verify now within 24 hours,1
Budget approval meeting next week as soon as possible,0
